"","Civil.Service.grad","gradeval","Group","Gender","Date","count","total","share","gradescore","sorter","totalgroup","share2","left","grp","yvar"
"139","SEO/HEO",3,"DH","Female",2014,380,1920,0.197916666666667,1.0625,0.647916666666667,FALSE,-0.0989583333333333,FALSE,"FALSE2014",-0.0989583333333333
"140","SEO/HEO",3,"DH","Male",2014,300,1920,0.15625,1.0625,0.647916666666667,FALSE,-0.078125,FALSE,"FALSE2014",-0.078125
"141","AO/AA",1,"DH","Male",2010,50,2710,0.018450184501845,0.0479704797047971,0.656826568265683,FALSE,0.00922509225092251,TRUE,"TRUE2010",0.00922509225092251
"142","AO/AA",1,"DH","Female",2010,80,2710,0.029520295202952,0.0479704797047971,0.656826568265683,FALSE,0.014760147601476,TRUE,"TRUE2010",0.014760147601476
"143","EO",2,"DH","Male",2010,130,2710,0.0479704797047971,0.339483394833948,0.656826568265683,FALSE,0.0239852398523985,TRUE,"TRUE2010",0.0239852398523985
"144","EO",2,"DH","Female",2010,330,2710,0.121771217712177,0.339483394833948,0.656826568265683,FALSE,0.0608856088560886,TRUE,"TRUE2010",0.0608856088560886
"145","G6/G7",4,"DH","Male",2010,440,2710,0.162361623616236,1.34317343173432,0.656826568265683,FALSE,0.0811808118081181,TRUE,"TRUE2010",0.0811808118081181
"146","G6/G7",4,"DH","Female",2010,470,2710,0.173431734317343,1.34317343173432,0.656826568265683,FALSE,0.0867158671586716,TRUE,"TRUE2010",0.0867158671586716
"147","SCS",5,"DH","Female",2010,120,2710,0.044280442804428,0.535055350553506,0.656826568265683,FALSE,0.022140221402214,TRUE,"TRUE2010",0.022140221402214
"148","SCS",5,"DH","Male",2010,170,2710,0.0627306273062731,0.535055350553506,0.656826568265683,FALSE,0.0313653136531365,TRUE,"TRUE2010",0.0313653136531365
"149","SEO/HEO",3,"DH","Male",2010,410,2710,0.151291512915129,1.01845018450184,0.656826568265683,FALSE,0.0756457564575646,TRUE,"TRUE2010",0.0756457564575646
"150","SEO/HEO",3,"DH","Female",2010,510,2710,0.188191881918819,1.01845018450184,0.656826568265683,FALSE,0.0940959409594096,TRUE,"TRUE2010",0.0940959409594096
